Genotype,Sample,Treatment,Experiment,FW_Roots,FW_Roots_log,DW_Roots,DW_Roots_log,FW_Shoots,FW_Shoots_log,DW_Shoots,DW_Shoots_log,Plant_height,Plant_height_log
King Edward,1,P. oligandrum,A,48.75,1.68797462,4.886,0.688953463,30.15,1.479287316,0.936,-0.028724151,18,1.255272505
King Edward,3,P. oligandrum,A,13.81,1.140193679,0.046,-1.337242168,36.57,1.56312496,1.336,0.125806458,17.5,1.243038049
King Edward,5,P. oligandrum,A,50.36,1.702085721,2.596,0.414304688,40.91,1.611829479,2.316,0.364738555,20,1.301029996
King Edward,7,P. oligandrum,A,38.2,1.582063363,3.766,0.575880316,22.16,1.345569756,0.476,-0.322393047,14,1.146128036
King Edward,9,P. oligandrum,A,23.37,1.368658712,1.886,0.275541688,15.24,1.182984967,0.066,-1.180456064,14.5,1.161368002
King Edward,11,P. oligandrum,A,39.18,1.593064432,6.486,0.811976944,18.98,1.278296208,0.406,-0.391473966,16,1.204119983
King Edward,2,.Control,A,26.69,1.426348574,0.876,-0.057495894,28.04,1.447778009,1.246,0.095518042,11.5,1.06069784
King Edward,4,.Control,A,51.52,1.711975854,6.946,0.841734779,21.18,1.325925956,0.666,-0.176525771,10.5,1.021189299
King Edward,6,.Control,A,21.89,1.340245762,2.926,0.466274322,14.26,1.154119526,-0.204,,14,1.146128036
King Edward,8,.Control,A,27.5,1.439332694,1.706,0.231979027,28.46,1.454234896,1.136,0.055378331,15.5,1.190331698
King Edward,10,.Control,A,68.38,1.834929096,12.266,1.08870296,26.2,1.418301291,1.136,0.055378331,18,1.255272505
King Edward,12,.Control,A,16.42,1.215373153,1.126,0.051538391,27.31,1.4363217,1.536,0.186391216,19,1.278753601
King Edward,1,P. oligandrum,B,24.873,1.39572817,2.194,0.341236623,20.873,1.319584873,5.624,0.750045312,18.5,1.267171728
King Edward,3,P. oligandrum,B,12.103,1.082893033,2.634,0.420615771,3.153,0.498723971,0.604,-0.218963061,8.5,0.929418926
King Edward,5,P. oligandrum,B,29.573,1.470895383,3.514,0.545801757,35.503,1.550265052,7.074,0.849665055,20,1.301029996
King Edward,7,P. oligandrum,B,14.173,1.151461787,1.394,0.144262774,17.993,1.25510358,1.294,0.111934276,16,1.204119983
King Edward,9,P. oligandrum,B,6.923,0.840294332,0.504,-0.297569464,5.973,0.776192515,0.224,-0.649751982,9.5,0.977723605
King Edward,11,P. oligandrum,B,26.023,1.415357362,3.014,0.479143248,21.973,1.341889356,1.494,0.174350597,17.5,1.243038049
King Edward,2,.Control,B,25.233,1.401968888,3.294,0.517723595,34.063,1.532282895,2.244,0.351022853,20.3,1.307496038
King Edward,4,.Control,B,38.913,1.590094714,4.384,0.641870545,20.793,1.317917154,1.544,0.188647296,14,1.146128036
King Edward,6,.Control,B,12.473,1.095970922,1.264,0.101747074,10.713,1.029911105,0.374,-0.427128398,8,0.903089987
King Edward,8,.Control,B,25.363,1.404200622,2.314,0.364363355,20.503,1.311817412,1.824,0.261024834,16.5,1.217483944
King Edward,10,.Control,B,10.813,1.033946203,1.034,0.014520539,20.623,1.314351842,1.064,0.026941628,12,1.079181246
King Edward,12,.Control,B,26.783,1.427859221,1.044,0.018700499,28.523,1.455195202,5.964,0.775537635,21,1.322219295
King Edward,1,P. oligandrum,C,13.914,1.143451999,1.389,0.142702246,48.204,1.683083078,3.619,0.558588583,21.5,1.33243846
King Edward,3,P. oligandrum,C,32.854,1.516588253,3.509,0.545183368,44.734,1.650637733,6.139,0.788097633,18.5,1.267171728
King Edward,5,P. oligandrum,C,14.094,1.149034267,1.769,0.247727833,48.524,1.685956594,4.379,0.641374945,24.5,1.389166084
King Edward,7,P. oligandrum,C,30.404,1.482930724,4.939,0.693639026,45.434,1.657380974,9.659,0.984932166,19.7,1.294466226
King Edward,9,P. oligandrum,C,15.854,1.200138854,1.549,0.190051418,58.804,1.769406869,5.139,0.710878618,21.5,1.33243846
King Edward,11,P. oligandrum,C,20.664,1.315214393,3.469,0.5402043,47.474,1.676455825,4.299,0.633367445,18.6,1.269512944
King Edward,2,.Control,C,10.914,1.037983949,1.559,0.192846115,56.174,1.74953535,5.849,0.767081621,24,1.380211242
King Edward,4,.Control,C,34.844,1.542128005,4.829,0.683857205,41.974,1.622980358,4.079,0.610553705,19.5,1.290034611
King Edward,6,.Control,C,10.574,1.024239306,1.379,0.139564266,24.844,1.395221521,2.849,0.454692449,16.4,1.214843848
King Edward,8,.Control,C,14.724,1.168025809,2.019,0.305136319,46.484,1.667303493,3.719,0.570426178,21,1.322219295
King Edward,10,.Control,C,16.494,1.21732599,1.979,0.296445794,56.224,1.74992174,16.919,1.22837469,22,1.342422681
King Edward,12,.Control,C,36.514,1.562459411,5.909,0.77151399,36.014,1.55647136,3.769,0.576226137,17,1.230448921
