Genotype,Sample,Treatment,Experiment,FW_Roots,FW_Roots_log,DW_Roots,DW_Roots_log,Sqrt_DW_Roots,FW_Shoots,FW_Shoots_log,DW_Shoots,DW_Shoots_log,Plant_height,Plant_height_log
Kuras,1,P. oligandrum ,A,85.89,1.933942603,9.096,0.958850452,3.015957559,46.62,1.668572269,3.716,0.570075705,10,1
Kuras,3,P. oligandrum ,A,80.37,1.905093968,8.916,0.95017006,2.98596718,40.99,1.612677918,2.856,0.455758203,10.5,1.021189299
Kuras,5,P. oligandrum ,A,68.25,1.834102656,5.906,0.771293443,2.430226327,48.39,1.684755622,4.276,0.631037697,10.2,1.008600172
Kuras,7,P. oligandrum ,A,24.97,1.397418542,1.096,0.039810554,1.046900186,28.33,1.452246575,1.466,0.16613397,9.2,0.963787827
Kuras,9,P. oligandrum ,A,23.43,1.369772289,1.306,0.115943177,1.14280357,37.5,1.574031268,2.026,0.306639441,10.5,1.021189299
Kuras,11,P. oligandrum ,A,72.26,1.858897957,12.276,1.08905688,3.503712317,39.45,1.596047008,2.596,0.414304688,14.1,1.149219113
Kuras,2,.Control,A,48.13,1.682415862,7.186,0.856487213,2.680671558,33.62,1.526597709,2.696,0.430719888,9.5,0.977723605
Kuras,4,.Control,A,62.19,1.793720557,9.836,0.99281852,3.136239787,26.96,1.430719888,2.016,0.304490528,7.7,0.886490725
Kuras,6,.Control,A,58.62,1.768045814,10.736,1.030842503,3.276583587,30.93,1.49037992,2.486,0.395501124,10.5,1.021189299
Kuras,8,.Control,A,38.85,1.589391023,5.076,0.705521613,2.252998003,31.61,1.499824496,1.366,0.135450699,8.5,0.929418926
Kuras,10,.Control,A,49.04,1.690550462,8.666,0.937818685,2.943807059,24.01,1.38039216,1.066,0.027757205,9,0.954242509
Kuras,12,.Control,A,34.11,1.532881719,6.406,0.806586934,2.531007704,18.87,1.2757719,0.316,-0.500312917,8.3,0.919078092
Kuras,1,P. oligandrum ,B,56.503,1.752071507,7.424,0.870637963,2.724701819,43.933,1.64279086,17.644,1.246597049,12,1.079181246
Kuras,3,P. oligandrum ,B,28.243,1.450910826,3.134,0.496098992,1.770310707,53.623,1.729351107,19.954,1.300029968,11.5,1.06069784
Kuras,5,P. oligandrum ,B,33.393,1.523655437,9.684,0.986054781,3.111912595,54.613,1.737296034,12.564,1.099127928,12.6,1.100370545
Kuras,7,P. oligandrum ,B,32.653,1.513923088,3.354,0.525563058,1.831392913,60.133,1.779112871,3.894,0.590395947,11.1,1.045322979
Kuras,9,P. oligandrum ,B,29.423,1.468686952,2.114,0.325104983,1.453960109,24.403,1.38744322,2.284,0.3586961,9,0.954242509
Kuras,11,P. oligandrum ,B,49.063,1.6907541,4.994,0.698448538,2.234725934,57.423,1.759085878,6.024,0.779884963,13.1,1.117271296
Kuras,2,.Control,B,13.773,1.139028547,1.564,0.194236749,1.250599856,27.923,1.445962076,1.614,0.20790353,9.7,0.986771734
Kuras,4,.Control,B,11.553,1.062694773,1.554,0.191451014,1.246595363,28.033,1.447669577,2.434,0.386320574,12.6,1.100370545
Kuras,6,.Control,B,17.433,1.24137213,2.654,0.423900919,1.629110187,30.123,1.478898222,5.564,0.745387121,9.5,0.977723605
Kuras,8,.Control,B,34.813,1.54174145,2.224,0.347134783,1.491308151,37.773,1.577181479,13.304,1.123982236,9.2,0.963787827
Kuras,10,.Control,B,12.793,1.1069724,1.044,0.018700499,1.021763182,28.803,1.459437724,7.174,0.855761372,9.5,0.977723605
Kuras,12,.Control,B,19.353,1.286748297,2.374,0.375480715,1.540779024,29.393,1.468243915,10.894,1.037187371,10,1
Kuras,1,P. oligandrum ,C,32.484,1.511669502,3.279,0.515741417,1.810800928,56.094,1.74891641,4.029,0.605197267,10,1
Kuras,3,P. oligandrum ,C,27.724,1.44285589,3.789,0.578524605,1.946535384,24.994,1.397835765,3.869,0.58759873,9.5,0.977723605
Kuras,5,P. oligandrum ,C,29.044,1.463056428,2.749,0.43917474,1.658010856,33.534,1.52548536,3.479,0.541454429,13,1.113943352
Kuras,7,P. oligandrum ,C,51.854,1.714782263,5.159,0.712565528,2.271343215,29.424,1.468701712,3.979,0.599773939,11.5,1.06069784
Kuras,9,P. oligandrum ,C,68.744,1.837234799,8.489,0.928856534,2.913588852,37.434,1.573266236,8.839,0.946403134,10,1
Kuras,11,P. oligandrum ,C,42.694,1.630366846,5.689,0.755035934,2.385162468,64.974,1.812739604,5.839,0.766338475,11,1.041392685
Kuras,2,.Control,C,19.214,1.283617786,2.639,0.42143939,1.624499923,29.874,1.475293377,3.649,0.562173863,8,0.903089987
Kuras,4,.Control,C,31.064,1.492257378,-2.481,,,33.504,1.52509666,3.599,0.556181847,8,0.903089987
Kuras,6,.Control,C,9.554,0.980185237,0.589,-0.229884705,0.767463354,36.414,1.561268388,3.129,0.495405563,7,0.84509804
Kuras,8,.Control,C,13.294,1.123655674,1.569,0.195622944,1.252597302,40.934,1.612084185,3.709,0.569256833,9,0.954242509
Kuras,10,.Control,C,28.104,1.448768137,2.739,0.437592032,1.654992447,29.244,1.466036775,2.969,0.472610198,9.5,0.977723605
Kuras,12,.Control,C,15.424,1.188197017,1.459,0.164055292,1.207890724,20.084,1.302850213,3.419,0.533899101,9.5,0.977723605
